"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence"
"Abelmoschus manihot","Malvales","Malvaceae","Abelmoschus","Abelmoschus manihot","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,1,14,14,5.5,6,105,"shrub","Perennial",2,"yes"
"Abutilon depauperatum","Malvales","Malvaceae","Abutilon","Abutilon depauperatum","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",50,5,15,15,15,4,30,"shrub","Perennial",1.75,"yes"
"Abutilon theophrasti","Malvales","Malvaceae","Abutilon","Abutilon theophrasti","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,5,12.5,12.5,2.5,4,34,"herb","Short lived",1.25,"yes"
"Acacia adealbata","Fabales","Fabaceae","Acacia","Acacia dealbata","Hermaphrodite","partially_self_compatible","low",0.4,"Brush","actinomorphic",65000,150,40,5.75,5.75,3.5,13,"tree","Perennial",8.5,"yes"
"Acacia insulae-iacobi","Fabales","Fabaceae","Acacia","Acacia insulae-iacobi","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,5,40,15.9378015240841,2.1,3.5,12,"tree","Perennial",5,"yes"
"Acacia rurodiana","Fabales","Fabaceae","Acacia","Acacia rorudiana","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,20,40,6,2.35,7,16,"shrub","Perennial",3.1,"yes"
"Acantholippia seriphioides","Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10000,50,24,6,3,3,2,"shrub","Perennial",0.001,"yes"
"Acer carpinifolium","Sapindales","Sapindaceae","Acer","Acer carpinifolium","Dioecious","dioecious","none",0,"Open","actinomorphic",20000,100,40,9.1,2.1,2,4,"tree","Perennial",6.5,"yes"
"Acer insulae","Sapindales","Sapindaceae","Acer","Acer caudatifolium","Hermaphrodite","dioecious","none",0,"Open","actinomorphic",5000,15,20,5,5,1,8,"tree","Perennial",6.1,"yes"
"Acer negundo","Sapindales","Sapindaceae","Acer","Acer negundo","Dioecious","dioecious","none",0,"Open","actinomorphic",15000,15,20,5.6,5.1,6.65,4,"tree","Perennial",8,"no"
"Acer saccharinum","Sapindales","Sapindaceae","Acer","Acer saccharinum","Monoecious","monoecious","none",0,"Open","actinomorphic",10000,15,20,2.5,3,5,4,"tree","Perennial",28,"no"
"Achillea millefolium","Asterales","Asteraceae","Achillea","Achillea millefolium","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,25,35,2.1,2.4,2.5,15,"herb","Perennial",0.001,"yes"
"Achillea wilsoniana","Asterales","Asteraceae","Achillea","Achillea wilsoniana","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",800,800,6,6,4,3,15,"herb","Perennial",0.001,"yes"
"Achyranthes bidentata","Caryophyllales","Amaranthaceae","Achyranthes","Achyranthes bidentata","Hermaphrodite","self_compatible","none",36.6531388860424,"Tube","actinomorphic",100,25,15,1.5,5,1.5,1,"herb","Perennial",0.001,"no"
"Aciphylla glacialis","Apiales","Apiaceae","Aciphylla","Aciphylla glacialis","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,200,200,2.25,0.001,1,2,"herb","Perennial",0.001,"yes"
"Aciphylla scott-thompsoni","Apiales","Apiaceae","Aciphylla","Aciphylla scott-thomsonii","Dioecious","dioecious","none",0,"Open","actinomorphic",50,50,150,2.25,0.001,0.001,2,"herb","Perennial",0.001,"yes"
"Aciphylla simplicifolia","Apiales","Apiaceae","Aciphylla","Aciphylla simplicifolia","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,1000,200,1.75,0.001,1,2,"herb","Perennial",0.001,"yes"
"Aciphylla subflavellata","Apiales","Apiaceae","Aciphylla","Aciphylla subflabellata","Dioecious","dioecious","none",0,"Open","actinomorphic",500,500,150,1.75,0.001,0.001,2,"herb","Perennial",0.001,"yes"
"Aconitum piepunense","Ranunculales","Ranunculaceae","Aconitum","Aconitum piepunense","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",50,50,23,13,7.5,2.5,58,"herb","Perennial",0.001,"yes"
"Leucopogon montanus","Ericales","Ericaceae","Acrothamnus","Acrothamnus montanus","Hermaphrodite","self_compatible","none",26.2332604266673,"Tube","actinomorphic",750,20,20,2.5,2.75,0.001,4,"shrub","Perennial",0.001,"yes"
"Actea alba","Ranunculales","Ranunculaceae","Actaea","Actaea rubra","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",250,40,20,5,31.12,1.5,22,"herb","Perennial",0.001,"no"
"Cimicifuga yunnanensis","Ranunculales","Ranunculaceae","Actaea","Actaea yunnanensis","Hermaphrodite","self_compatible","none",25.7128001965283,"Open","actinomorphic",60,60,20,8,3.93580785610237,1.5,1,"herb","Perennial",0.001,"yes"
"Actinidia arguta","Ericales","Actinidiaceae","Actinidia","Actinidia arguta","Dioecious","dioecious","none",0,"Open","actinomorphic",300,15,45,16,5,6.5,600,"vine","Perennial",4,"no"
"Actinidia rufa","Ericales","Actinidiaceae","Actinidia","Actinidia rufa","Dioecious","dioecious","none",0,"Open","actinomorphic",300,15,12.5,12.5,5,3,600,"shrub","Perennial",7,"no"
"Adenophora capillaris","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,30,12.5,12.5,14,20,152,"herb","Perennial",0.001,"yes"
"Adenophora jasionifolia","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,10,20,20,18.44,20,193,"herb","Perennial",0.001,"yes"
"Adenophora khasiana","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,100,35,35,20.59,24,356,"herb","Perennial",0.001,"yes"
"Cacalia reniformis","Asterales","Asteraceae","Adenostyles","Adenostyles alpina","Hermaphrodite","self_incompatible","none",5.17895389320416,"Capitulum","actinomorphic",200,100,100,12.1,8,15,8,"herb","Perennial",0.001,"yes"
"Aeginetia indica","Lamiales","Orobanchaceae","Aeginetia","Aeginetia indica","Hermaphrodite","self_compatible","high",46.7844650159245,"Tube","zygomorphic",1,1,22.8,22.8,37.5,12.5,56,"herb","Perennial",0.001,"yes"
"Aeschynomene mollicula","Fabales","Fabaceae","Aeschynomene","Aeschynomene mollicula","Hermaphrodite","self_compatible","high",56.1311142408065,"Papilionaceous","zygomorphic",5,5,2.1,2.1,7.1,5,15,"shrub","Perennial",1,"yes"
"Aeschynomene pratensis","Fabales","Fabaceae","Aeschynomene","Aeschynomene pratensis","Hermaphrodite","self_compatible","low",23.33,"Papilionaceous","zygomorphic",15,3,3,3,8,5,15,"herb","Perennial",1,"yes"
"Aesculus glabra","Sapindales","Sapindaceae","Aesculus","Aesculus glabra","Monoecious","self_compatible","none",26.1282556667082,"Tube","zygomorphic",10000,50,80,13,22,40,6,"tree","Perennial",15,"yes"
"Aesculus hippocastanum","Sapindales","Sapindaceae","Aesculus","Aesculus hippocastanum","Hermaphrodite","self_compatible","none",17.103612210972,"Open","zygomorphic",20000,100,120,27.5,13.1,16.5,6,"tree","Perennial",19,"yes"
"Gerardia auriculata","Lamiales","Orobanchaceae","Agalinis","Agalinis auriculata","Hermaphrodite","self_compatible","high",95,"Campanulate","zygomorphic",10,10,30,12.1,13,11,215.55,"herb","Short lived",0.001,"no"
"Gerardia purpurea","Lamiales","Orobanchaceae","Agalinis","Agalinis purpurea","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,100,60,16.5,18.1,15,224,"herb","Short lived",0.001,"yes"
"Gerardia tenuifolia","Lamiales","Orobanchaceae","Agalinis","Agalinis tenuifolia","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,100,20,10.5,12.5,11,87,"herb","Short lived",9.1,"no"
"Agauria salicifolia","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","none",28.1713505156498,"Tube","actinomorphic",2000,30,10,4.5,8.5,7,7,"tree","Perennial",10.45,"yes"
"Agastache nepetoides","Lamiales","Lamiaceae","Agastache","Agastache nepetoides","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",1500,100,30,3.1,8,11,4,"herb","Perennial",1.65,"yes"
"Agastache scrophulariaefolia","Lamiales","Lamiaceae","Agastache","Agastache scrophulariaefolia","Hermaphrodite","self_compatible","high",50.904294007103,"Tube","zygomorphic",500,100,30,4,8.1,11,4,"herb","Perennial",1.2,"yes"
